,sample,variable,valuemin,valuemax,valuesum,valuecount,valuemean,valuestd,CV
0,2,norm_ffluc,0.883892068683565,1.35145816298719,35.24679749250477,32,1.101462421640774,0.11978802557799355,0.10875361993698654
1,2,norm_nanoluc,0.22240288475338468,0.3813986030713295,9.051316796632063,32,0.282853649894752,0.03681196882662496,0.13014493127567014
2,2,value_ffluc,1380.0,2110.0,55030.0,32,1719.6875,187.02224078538651,0.10875361993698653
3,2,value_nanoluc,7913.0,13570.0,322042.0,32,10063.8125,1309.7541861837308,0.1301449312756702
4,3,norm_ffluc,0.9095121286454074,1.1977378032161352,32.85772690106296,32,1.0268039656582175,0.07316305912827546,0.071253191042533
5,3,norm_nanoluc,0.39545160981677274,0.6118679136965985,16.23066067071712,32,0.50720814595991,0.04771889166279941,0.09408147728481303
6,3,value_ffluc,1420.0,1870.0,51300.0,32,1603.125,114.22777189006071,0.071253191042533
7,3,value_nanoluc,14070.0,21770.0,577480.0,32,18046.25,1697.817859451057,0.09408147728481303
8,4,norm_ffluc,0.7493867538838921,1.152902698282911,30.67361678931589,32,0.9585505246661216,0.09665350853039757,0.10083298276224253
9,4,norm_nanoluc,0.6082141319427834,0.8577955317418553,23.04917954360618,32,0.7202868607376931,0.06781923962363644,0.09415587499982757
10,4,value_ffluc,1170.0,1800.0,47890.0,32,1496.5625,150.90286076511862,0.10083298276224255
11,4,value_nanoluc,21640.0,30520.0,820080.0,32,25627.5,2412.9796865580806,0.09415587499982755
12,5,norm_ffluc,0.7237666939220496,1.2489779231398201,29.5335241210139,32,0.9229226287816844,0.12481813466902512,0.13524225192505343
13,5,norm_nanoluc,0.7197950055016027,1.1456011098885328,27.774643591828923,32,0.8679576122446538,0.10590551342893248,0.12201691872376894
14,5,value_ffluc,1130.0,1950.0,46110.0,32,1440.9375,194.87563238325671,0.13524225192505346
15,5,value_nanoluc,25610.0,40760.0,988210.0,32,30881.5625,3768.0731016254904,0.12201691872376892
16,6,norm_ffluc,0.7109566639411283,1.0952575633687653,28.8994276369583,32,0.9031071136549469,0.09050751232471756,0.1002179154125211
17,6,norm_nanoluc,0.7658888676266564,1.0483543032100655,28.874431899727313,32,0.9023259968664785,0.07528029136506728,0.08342915046944709
18,6,value_ffluc,1110.0,1710.0,45120.0,32,1410.0,141.30726073165485,0.10021791541252117
19,6,value_nanoluc,27250.0,37300.0,1027340.0,32,32104.375,2678.440732602556,0.08342915046944711
20,7,norm_ffluc,0.7814118288361951,1.0696375034069228,29.46947397110929,32,0.9209210615971654,0.08012645387029461,0.08700686433572305
21,7,norm_nanoluc,0.7431229966990385,1.1155276754532841,29.21395254269722,32,0.9129360169592882,0.07863465739190631,0.08613380996163827
22,7,value_ffluc,1220.0,1670.0,46010.0,32,1437.8125,125.0995571277068,0.08700686433572305
23,7,value_nanoluc,26440.0,39690.0,1039420.0,32,32481.875,2797.7876484476888,0.08613380996163826
24,8,norm_ffluc,0.7686017988552739,1.3258381030253474,29.86658490051785,32,0.9333307781411828,0.12296890950678808,0.13175276374330266
25,8,norm_nanoluc,0.7717911304597427,1.1939434530928574,30.225206908099317,32,0.9445377158781036,0.10563446884440403,0.11183721631083769
26,8,value_ffluc,1200.0,2070.0,46630.0,32,1457.1875,191.9884804171939,0.1317527637433027
27,8,value_nanoluc,27460.0,42480.0,1075400.0,32,33606.25,3758.4294506460915,0.11183721631083776
28,9,norm_ffluc,0.7750068138457346,1.0568274734260017,29.360588716271465,32,0.9175183973834833,0.086454309725648,0.09422624110011585
29,9,norm_nanoluc,0.756332823039755,1.1630268382528823,30.213402382433145,32,0.9441688244510358,0.10266089338481277,0.10873150089921944
30,9,value_ffluc,1210.0,1650.0,45840.0,32,1432.5,134.97909037591594,0.09422624110011585
31,9,value_nanoluc,26910.0,41380.0,1074980.0,32,33593.125,3652.630901145091,0.10873150089921943
32,10,norm_ffluc,0.7814118288361951,1.0696375034069228,28.957072771872443,32,0.9049085241210139,0.08255866883539824,0.09123427024360489
33,10,norm_nanoluc,0.7686994689757451,1.1841063483710472,30.728866669856004,32,0.9602770834330001,0.0984932842385281,0.10256756715094525
34,10,value_ffluc,1220.0,1670.0,45210.0,32,1412.8125,128.89691742854305,0.0912342702436049
35,10,value_nanoluc,27350.0,42130.0,1093320.0,32,34166.25,3504.3491411709824,0.10256756715094523
36,11,norm_ffluc,0.7557917688743526,1.415508312891796,28.860997547015536,32,0.9019061733442355,0.12137883645920133,0.1345803366764117
37,11,norm_nanoluc,0.7540843419604841,1.1706154618954216,29.28787135817825,32,0.9152459799430703,0.10771516449978748,0.11768985263009571
38,11,value_ffluc,1180.0,2210.0,45060.0,32,1408.125,189.50593658247226,0.13458033667641173
39,11,value_nanoluc,26830.0,41650.0,1042050.0,32,32564.0625,3832.459716662226,0.11768985263009571
40,DMSO,norm_ffluc,0.83265194875988,1.4859634777868629,64.0117198146634,63,1.0160590446771967,0.11972356156572683,0.11783130340005307
41,DMSO,norm_nanoluc,0.8018645648949911,1.3237932354207531,63.99992225996269,63,1.0158717819041696,0.12093525528955107,0.11904578652915007
42,DMSO,value_ffluc,1300.0,2320.0,99940.0,63,1586.3492063492063,186.92159463176674,0.11783130340005309
43,DMSO,value_nanoluc,28530.0,47100.0,2277090.0,63,36144.28571428572,4302.824921391464,0.11904578652915002
